run_id,run_path,generation,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A3_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_1_s9012_b017073,v2,A3,1,0.540875,0.0,0.540875,1.4313034345295033,0,1.4313034345295033,0.48343750211643055,0.48343750211643055,0.0228125000721775,0.8468750026077032,0.44744671136140823,1,0.5418088436126709,0.575,0.42,0.9869144632297228,0,0.0,0.5764683548609416,0.019375,0.019375,0.8184375,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A3_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_2_s1234_b017073,v2,A3,2,0.7381875,0.0,0.7381875,1.1173486184368433,0,1.1173486184368433,0.8521874938160181,0.8521874938160181,0.4237500005401671,0.9918750002980232,0.5021264031529427,1,0.6443784385919571,0.73865625,0.8604166666666667,0.9748748403224388,0,0.0,0.707317415078481,0.27187500000000003,0.27187500000000003,0.883125,0.000546875,29376,2103552,51136,50762,0.013964950711938665
A3_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_2_s5678_b017073,v2,A3,2,0.7950625,0.0003125,0.79475,1.0567930154689478,0,1.0567930154689478,0.9653125032782555,0.9653125032782555,0.35218750312924385,0.9990625008940697,0.5007909871637821,1,0.6056251265108585,0.85384375,0.86375,0.9889078712884611,0,0.0,0.6296952001253763,0.2632291666666667,0.2629166666666667,0.9503125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3_2_s9012_b017073,v2,A3,2,0.633125,0.0030208333333333333,0.6301041666666667,1.416400139904137,0,1.416400139904137,0.2721874980488792,0.2721874980488792,0.5568750090897083,0.9940625056624413,0.49407242983579636,1,0.6350461840629578,0.31628125,0.3333333333333333,0.9704868434240286,0,0.0010416666666666669,0.699799185593923,0.5116666666666666,0.5086458333333332,0.8596875,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_0_s1234_b017073,v2,A3b,0,0.6098125,0.0005208333333333333,0.6092916666666667,1.164436265659705,0,1.164436265659705,0.9018750078976154,0.9018750078976154,0.0003124999930150807,0.9600000083446503,0.5173033177852631,1,0.7023498490452766,0.7151875,0.7711458333333333,0.9737142847803494,0,0.00010416666666666669,0.7609355282783508,0.0013541666666666667,0.0008333333333333334,0.8015625,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A3b_0_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_0_s5678_b017073,v2,A3b,0,0.7046875,0.0,0.7046875,1.0632955000877722,0,1.0632955000877722,0.7634375002235174,0.7631250002305023,0.0012499999720603228,0.994375005364418,0.5373493395745754,1,0.6411803793162107,0.81140625,0.8721875,0.9861372888122846,0,0.0,0.642468052705129,0.0003125,0.0003125,0.8328125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_0_s9012_b017073,v2,A3b,0,0.7383125,0.011041666666666667,0.7272708333333334,0.9524595483461533,0,0.9524595483461533,0.9243750050663948,0.9243750050663948,0.002187499951105565,0.9565625041723251,0.5199405755847692,1,0.6118183191865683,0.7625,0.6468229166666667,0.9766146584194385,0,0.0003125000000000003,0.6339023343722027,0.0022916666666666662,-0.00875,0.99375,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_1_s1234_b017073,v2,A3b,1,0.5451875,0.0,0.5451875,1.3604598546418885,0,1.3604598546418885,0.894687507301569,0.894687507301569,0.0018749999580904841,0.9959375038743019,0.4705324973911047,1,0.6849857345223427,0.6695625,0.765,0.9315406535259129,0,0.0,0.6957487289110821,0.0,0.0,0.753125,0.0001171875,29376,2103552,51136,50762,0.013964950711938665
A3b_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_1_s5678_b017073,v2,A3b,1,0.6071875,0.0003125,0.6068749999999999,1.1823348294052392,0,1.1823348294052392,0.8662500032223761,0.8662500032223761,0.0015624999650754035,0.9912500008940697,0.4838799349963665,1,0.5939441435039043,0.725,0.7025,0.9594482408346412,0,-0.00020833333333333332,0.7184306104977926,0.001979166666666667,0.0016666666666666668,0.9696875,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_1_s9012_b017073,v2,A3b,1,0.6534375,0.0,0.6534375,1.1989264701715636,0,1.1989264701715636,0.9856250062584877,0.9856250062584877,0.002812499937135726,0.9868750050663948,0.49022252671420574,1,0.6444411426782608,0.7710625,0.72796875,0.9684988202221524,0,0.0,0.7229826498031616,0.00020833333333333335,0.00020833333333333335,0.86375,0.0,29376,2103552,51136,50762,0.013964950711938665
