run_id,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A2_4_7245365,A2,4,0.5675,0.0004166666666666667,0.5670833333333334,1.1588120539791311,0,1.1588120539791311,0.7456250060349703,0.7378125060349703,0.08156249905005097,0.8468749951571226,0.9014511629939079,1,1.4477073922753334,0.633,0.7409375,0.9556324387546159,0,0.0,1.536902395884196,0.05177083333333333,0.05135416666666666,0.7203125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_0_7245365,A3,0,0.5899375,0.0,0.5899375,1.2294485197983995,0,1.2294485197983995,0.756874998100102,0.756874998100102,0.008124999876599759,0.9375000074505806,0.5148132666945457,1,0.698221355676651,0.57471875,0.5453645833333334,0.9757976307799074,0,0.0,0.734817430973053,0.007500000000000001,0.007500000000000001,0.8640625,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_1_7245365,A3,1,0.5316875,0.00010416666666666667,0.5315833333333333,1.325164586815646,1,1.325164586815646,0.6393749946728349,0.6393749946728349,0.14781250024680048,0.9412500038743019,0.46694996021687984,1,0.6706284638494253,0.60928125,0.6494791666666667,0.9294716071474661,1,0.0,0.7457870117823283,0.07041666666666667,0.0703125,0.853125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_2_7245365,A3,2,0.8071875,0.008854166666666666,0.7983333333333332,0.9030225092538541,0,0.9030225092538541,0.6984375007450581,0.696875000721775,0.05874999891966581,0.9468749985098839,0.48369989171624184,1,0.6309228278696537,0.8288125,0.7851041666666667,0.9958290380773199,0,0.0010416666666666664,0.664942928949992,0.012916666666666667,0.0040625,0.926875,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_3_7245365,A3,3,0.77325,0.005416666666666667,0.7678333333333334,0.9165473982873082,0,0.9165473982873082,0.904062494635582,0.904062494635582,0.02437499992083758,0.9356250017881393,0.4593438655138016,1,0.6471901535987854,0.76321875,0.7105208333333334,0.974543901848711,0,-0.0006250000000000006,0.6955268836021423,0.0011458333333333333,-0.004270833333333333,0.9428125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3_4_7245365,A3,4,0.673375,0.00010416666666666667,0.6732708333333333,1.0717005826297206,0,1.0717005826297206,0.9518750011920929,0.9518750011920929,0.009374999965075403,0.9606250077486038,0.453619871288538,1,0.6870743706822395,0.78059375,0.7511458333333333,0.966392376652388,0,0.00010416666666666667,0.7415177583694459,0.01375,0.013645833333333333,0.904375,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_0_7245365,A3b,0,0.6071875,0.00020833333333333335,0.6069791666666666,1.1433294547363029,0,1.1433294547363029,0.6156250014901161,0.6156250014901161,0.009999999951105565,0.9712500050663948,0.48798415064811707,1,0.5951072610914707,0.5510625,0.6458333333333334,0.9768481711628949,0,0.0,0.6545181123415629,0.018333333333333333,0.018125,0.8453125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_1_7245365,A3b,1,0.6225625,0.0421875,0.580375,0.8607580551151706,0,0.8607580551151706,0.887812502682209,0.887812502682209,0.0021875000093132257,0.9300000071525574,0.4046955667436123,1,0.6057501472532749,0.797,0.6289583333333333,0.9252594682855428,0,-0.0014583333333333393,0.6158223795890808,0.0,-0.042187499999999996,0.9325,0.0001171875,29376,2103552,51136,50762,0.013964950711938665
A3b_2_7245365,A3b,2,0.52175,0.0010416666666666667,0.5207083333333333,1.156570302542781,0,1.156570302542781,0.23656250024214387,0.23656250024214387,0.0012499999720603228,0.9465624988079071,0.5028130412101746,1,0.6873118653893471,0.313625,0.3333333333333333,0.9662980689435592,0,0.00010416666666666669,0.7434748975435892,0.000625,-0.00041666666666666664,0.743125,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_3_7245365,A3b,3,0.5141875,0.013854166666666667,0.5003333333333333,1.2417636315672542,0,1.2417636315672542,0.22218750097090378,0.21968750102678314,0.04999999876599759,0.823125003837049,0.46520161628723145,1,0.7264369130134583,0.506875,0.4541145833333333,0.9657631018838864,0,-0.006666666666666667,0.798185222943624,0.06458333333333333,0.05072916666666666,0.639375,0.0001953125,29376,2103552,51136,50762,0.013964950711938665
A3b_4_7245365,A3b,4,0.67975,0.0003125,0.6794374999999999,0.9947384849003582,0,1.1368439827432668,0.22375000268220901,0.22375000268220901,0.0015625000232830644,0.8640625011175871,0.427992295473814,1,0.5772263891994953,0.175,0.0,0.9488925766977686,0,0.0,0.611292933622996,0.0005208333333333333,0.00020833333333333332,0.939375,3.90625e-05,29376,2103552,51136,50762,0.013964950711938665
A4_0_7245365,A4,0,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.3469107933342457,1,1.2229332774877548,0.2,0.0,0.9837802072201458,8,0.0,1.3617298316955566,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
